orgvar | var | descr
tot_coll_amt | tot_coll_amt | Lending Club Dictionary: Total collection amounts ever owed.                   
total_rev_hi_lim | total_rev_hi_lim | Lending Club Dictionary: Total revolving high credit/credit limit.                   
acc_open_past_24mths | acc_open_past_24mths | Lending Club Dictionary: Number of trades opened in past 24 months.             
bc_open_to_buy | bc_open_to_buy | Lending Club Dictionary: Total open to buy on revolving bankcards.                    
bc_util | bc_util | Lending Club Dictionary: Ratio of total current balance to high credit/credit limit for all bankcard accounts.                          
chargeoff_within_12_mths | chargeoff_within_12_mths | Lending Club Dictionary: Number of charge-offs within 12 months.            
delinq_amnt | delinq_amnt | Lending Club Dictionary: The past-due amount owed for the accounts on which the borrower is now delinquent.
x | x | Values concerning the abscissa (x-axis).
y | y | Values concerning the ordinate (y-axis).
false_positive_rate | false_positive_rate | The false positive rate (wrongly assigned as positive).
false_positive_rate | false_positive_rate | The true positive rate (correctly assigned as positive).                       
mo_sin_old_il_acct | mo_sin_old_il_acct | Lending Club Dictionary: Months since oldest bank installment account opened.                 
mo_sin_old_rev_tl_op | mo_sin_old_rev_tl_op | Lending Club Dictionary: Months since oldest revolving account opened.             
mo_sin_rcnt_rev_tl_op | mo_sin_rcnt_rev_tl_op | Lending Club Dictionary: Months since most recent revolving account opened.             
mo_sin_rcnt_tl | mo_sin_rcnt_tl | Lending Club Dictionary: Months since most recent account opened.                    
mort_acc | mort_acc | Lending Club Dictionary: Number of mortgage accounts.                          
num_accts_ever_120_pd | num_accts_ever_120_pd | Lending Club Dictionary: Number of accounts ever 120 or more days past due.        
num_actv_bc_tl | num_actv_bc_tl | Lending Club Dictionary: Number of currently active bankcard accounts.                   
num_actv_rev_tl | num_actv_rev_tl | Lending Club Dictionary: Number of currently active revolving trades.                 
num_bc_sats | num_bc_sats | Lending Club Dictionary: Number of satisfactory bankcard accounts.                       
num_bc_tl | num_bc_tl | Lending Club Dictionary: Number of bankcard accounts.                       
num_il_tl | num_il_tl | Lending Club Dictionary: Number of installment accounts.                        
num_op_rev_tl | num_op_rev_tl | Lending Club Dictionary: Number of open revolving accounts.                    
num_rev_accts | num_rev_accts | Lending Club Dictionary: Number of revolving accounts.                     
num_rev_tl_bal_gt_0 | num_rev_tl_bal_gt_0 | Lending Club Dictionary: Number of revolving trades with balance >0.               
num_sats | num_sats | Lending Club Dictionary: Lending Club Dictionary: Number of satisfactory accounts.                          
num_tl_90g_dpd_24m | num_tl_90g_dpd_24m | Lending Club Dictionary: Number of accounts 90 or more days past due in last 24 months.
num_tl_op_past_12m | num_tl_op_past_12m | Lending Club Dictionary: Number of accounts opened in past 12 months.               
pct_tl_nvr_dlq | pct_tl_nvr_dlq | Lending Club Dictionary: Percent of trades never delinquent.                    
percent_bc_gt_75 | percent_bc_gt_75 | Lending Club Dictionary: Percentage of all bankcard accounts > 75% of limit.                 
pub_rec_bankruptcies | pub_rec_bankruptcies | The public records regarding bankruptcies.              
tax_liens | tax_liens | Lending Club Dictionary: The number of tax liens.                          
tot_hi_cred_lim | tot_hi_cred_lim | Lending Club Dictionary: Total high credit/credit limit.               
total_bal_ex_mort | total_bal_ex_mort |  Lending Club Dictionary: Total credit balance excluding mortgage.               
total_bc_limit | total_bc_limit | Lending Club Dictionary: Total bankcard high credit/credit limit.                    
total_il_high_credit_limit | total_il_high_credit_limit | Lending Club Dictionary: Total installment high credit/credit limit.          
mean_fico_range | mean_fico_range | The average fico range of the borrower during loan application.                  
month_02 | month_02 | A binary dummy indicating the month of loan issuance.                           
month_03 | month_03 | A binary dummy indicating the month of loan issuance.                           
month_04 | month_04 | A binary dummy indicating the month of loan issuance.                           
month_05 | month_05 | A binary dummy indicating the month of loan issuance.                           
month_06 | month_06 | A binary dummy indicating the month of loan issuance.                           
month_07 | month_07 | A binary dummy indicating the month of loan issuance.                           
month_08 | month_08 | A binary dummy indicating the month of loan issuance.                           
month_09 | month_09 | A binary dummy indicating the month of loan issuance.                           
month_10 | month_10 | A binary dummy indicating the month of loan issuance.                          
month_11 | month_11 | A binary dummy indicating the month of loan issuance.                           
month_12 | month_12 | A binary dummy indicating the month of loan issuance.                          
year_2012 | year_2012 | A binary dummy indicating the year of loan issuance.                          
year_2013 | year_2013 | A binary dummy indicating the year of loan issuance.                        
year_2014 | year_2014 | A binary dummy indicating the year of loan issuance.                          
year_2015 | year_2015 | A binary dummy indicating the year of loan issuance.                          
year_2016 | year_2016 | A binary dummy indicating the year of loan issuance.                          
year_2017 | year_2017 | A binary dummy indicating the year of loan issuance.                          
issue_d_to_ear_cr | issue_d_to_ear_cr | The difference between the date of earliest credit line and loan issuance.
















